id_guest	id_host	id_listing	ts_contact_at	ts_reply_at	ts_accepted_at	ts_booking_at	ds_checkin	ds_checkout	n_guests	n_messages
000dfad9-459b-4f0b-8310-3d6ab34e4f57	13bb24b8-d432-43a2-9755-5ea11b43bb69	21d2b1a2-fdc3-4b4c-a1f0-0eaf0cc02370	2014-10-04 16:26:28.0	2014-10-04 16:26:28.0	2014-10-04 16:26:28.0	2014-10-04 16:26:28.0	2014-10-13	2014-10-15	2	13
00197051-c6cb-4c3a-99e9-86615b819874	46aa3897-9c00-4d76-ac66-a307593d0675	fb5ed09a-9848-4f2c-b2ef-34deb62164fb	2014-11-04 09:10:03.0	2014-11-04 09:45:50.0	2014-11-04 09:45:50.0	2014-11-04 12:20:46.0	2014-11-27	2014-11-30	1	10
0027538e-aa9e-4a02-8979-b8397e5d4cba	6bbb88ca-db66-48c5-9c4b-862f7706284a	d3871da6-8012-4dc4-b508-c91f2c10c297	2014-10-10 12:02:50.0	2014-10-10 15:07:01.0	NULL	NULL	2014-10-17	2014-10-19	2	3
0027538e-aa9e-4a02-8979-b8397e5d4cba	8772bc85-a9b7-4d85-a52d-41f3620c2912	0d9b5583-8053-4b67-adfe-8c29eb12efed	2014-10-10 15:23:53.0	NULL	NULL	NULL	2014-10-17	2014-10-19	2	2
0027538e-aa9e-4a02-8979-b8397e5d4cba	ac162061-55e2-4072-ac91-2e080f9581f2	ec68e0af-b0f2-42c7-b6f8-d41061c083ff	2014-10-10 15:22:26.0	2014-10-10 15:24:26.0	2014-10-10 15:24:26.0	2014-10-10 15:52:42.0	2014-10-17	2014-10-19	2	14
006b68ec-9374-4061-a954-6ae10f838b9e	16a2ccae-60a6-445a-9cc4-8f0d83e454f2	f375e1c9-3d53-4f1f-8727-d8a775ed94ee	2014-10-04 09:15:47.0	2014-10-04 14:42:00.0	NULL	NULL	2014-10-04	2014-10-05	3	6
006b68ec-9374-4061-a954-6ae10f838b9e	42bae547-e5d9-4614-8f47-c4ede1036371	9d8e30e9-dcc9-4148-82f7-39f7297b48f9	2014-10-02 00:21:08.0	NULL	NULL	NULL	2014-10-04	2014-10-05	3	4
006c93e2-199f-4b35-a094-4176c43034be	ee55912a-88a0-414d-aed7-7f15ce527232	71bca3ca-cbbf-4496-b35b-15dcc39552da	2014-10-02 04:09:28.0	2014-10-02 06:58:38.0	NULL	NULL	2014-11-05	2014-11-07	2	2
007a3626-1c7b-44a9-8407-52c0f3f6cf49	d5bf9afd-9572-4f60-955e-02706cc7130a	d8a2dfe9-3bae-4e33-b430-0178b525f070	2014-12-29 18:39:31.0	2014-12-29 23:26:44.0	NULL	NULL	2015-02-13	2015-02-16	2	2
007a3626-1c7b-44a9-8407-52c0f3f6cf49	ed4291f5-78e2-4654-9c76-7fdc36af0469	30550df2-1a2c-4969-95cc-2e30e4324b20	2014-12-29 18:44:50.0	2014-12-29 18:51:05.0	2014-12-31 11:53:55.0	2015-01-20 10:03:12.0	2015-02-13	2015-02-16	2	10
007b4c4e-261d-4db9-b5cc-5a824e9f2abc	4b506f77-378a-4634-b26a-b94bf72dd95f	66329697-0f5e-4aa5-8f4a-1c09090db3d4	2014-10-15 01:09:24.0	2014-10-15 05:41:31.0	NULL	NULL	2014-11-08	2014-11-15	2	5
007b4c4e-261d-4db9-b5cc-5a824e9f2abc	6fccecd2-5a89-4832-856e-cb45f477f7bd	2ce4f20d-13b8-4960-b446-72ffc698b65f	2014-10-15 17:43:32.0	2014-10-15 17:43:32.0	2014-10-15 17:43:32.0	2014-10-15 17:43:32.0	2014-11-08	2014-11-15	2	26
007f2a0d-2761-4ea1-8076-dcc904bcaff9	28980988-2a4e-4516-bf62-5c47b3ba62b2	2a6efb76-ce28-4811-8f01-b9cdc0be5f2a	2014-10-14 08:59:07.0	2014-10-14 10:38:08.0	NULL	NULL	2014-12-19	2015-01-02	1	4
008153d4-3cfa-42de-9624-315d1bb88254	29a25390-9f01-4606-b88e-e3eb8c7fdc3a	f47f1fb8-31d5-473b-b5d1-6abcfac0cfdb	2014-10-11 08:55:47.0	2014-10-11 09:21:38.0	2014-10-11 09:22:25.0	2014-10-11 09:22:25.0	2014-10-13	2014-10-14	1	6
00a1704a-5552-4042-83c6-fb4c8584248e	44b8a642-c33a-4d7d-ad5f-a58ca737e69a	4f7ab970-2cbd-4c94-adac-d7d3530742e9	2015-01-13 02:08:59.0	2015-01-13 09:36:26.0	2015-01-13 09:36:36.0	2015-01-13 09:36:36.0	2015-02-26	2015-03-03	2	7
00c2b7ac-6345-4514-9257-b7c19524e2fd	1df53d05-deea-4663-bae8-8edce5c54e68	13fa42d3-110f-47c8-97ab-4a37c7d0baab	2014-10-06 23:55:42.0	2014-10-07 06:29:57.0	2014-10-07 06:29:57.0	2014-10-07 06:29:57.0	2014-10-09	2014-10-11	1	20
00c8b961-01cf-44fd-952a-61d051d89741	1a162837-bd2e-4cf3-b498-70f122f8e278	ef78de5e-c0c2-47b5-9f90-8d508ada4aa8	2014-10-06 18:33:43.0	2014-10-07 12:51:58.0	NULL	NULL	2014-10-10	2014-10-11	1	2
00d86f70-aa6d-42e9-8c7b-6a9873724a48	67e77954-dc5e-45e5-8ee3-20b94d7e96cb	3058cf66-1cf2-40b3-adfa-cbb7d10b640f	2014-10-06 22:06:56.0	NULL	NULL	NULL	2015-01-31	2015-02-01	4	2
00dbfc14-e378-40c9-b841-28f60275109d	2304438d-eb9b-4e35-a5ed-fa3b2c130bb2	c0fe10bb-bb08-4b73-8e82-5c1de29330f3	2014-10-01 15:37:51.0	2014-10-01 16:08:36.0	2014-10-02 13:42:44.0	NULL	2014-10-18	2014-10-22	3	4
00dbfc14-e378-40c9-b841-28f60275109d	3905eb69-68c3-49c1-86c9-594c3b240b10	b4ed82f6-d78f-4765-8ce3-94217688f618	2014-10-01 15:39:14.0	2014-10-01 15:47:37.0	2014-10-01 15:47:37.0	NULL	2014-10-18	2014-10-22	3	3
00de551e-d709-4c0c-b0c9-cdf66ded131f	8cbcb374-6da4-4e6d-a4c4-4162bf6faae0	dfcb70d6-c5aa-450f-b53e-fdb2c2158969	2014-10-12 21:49:09.0	2014-10-13 05:14:35.0	2014-10-13 05:14:35.0	2014-10-13 05:14:35.0	2014-11-01	2014-11-04	2	8
00e28e80-7a51-4c59-ac04-2aa16c222572	ee0fb96a-5b8f-4f12-a888-204dc191e583	c5e09113-1208-4056-9822-2a1dd7ab43a9	2014-10-02 08:19:41.0	2014-10-02 09:37:12.0	2014-10-02 09:38:58.0	2014-10-02 09:38:58.0	2014-10-10	2014-10-13	2	6
00e28e80-7a51-4c59-ac04-2aa16c222572	f8ea93bd-f4f0-4f95-8102-09f9aeae3002	33f6f6f4-12c6-495f-b3da-a395f201f197	2014-10-04 09:32:25.0	2014-10-04 09:49:24.0	2014-10-04 09:49:58.0	2014-10-04 09:49:58.0	2014-10-10	2014-10-13	2	11
00fb5de4-9865-420f-bc85-22521121a1ca	1f9b3786-2b44-49d4-8b76-c2aef6b7a0a8	e2498db6-9aa8-4e48-89a4-4bc968ce148d	2014-09-29 20:48:07.0	NULL	NULL	NULL	2014-10-03	2014-10-05	1	1
010914da-d649-4812-98f6-0ffc665730f9	2af60948-0028-4b17-bf38-db964c554116	111a72f6-fedb-4ca2-bda2-d4983c857ca4	2014-10-11 11:10:21.0	2014-10-11 11:26:29.0	NULL	NULL	2014-10-14	2014-10-21	1	2
010914da-d649-4812-98f6-0ffc665730f9	4be405cd-5f62-432c-8e9d-5e48848f25dc	5ad387c5-7208-4655-aac2-cf752bc2643e	2014-10-11 11:48:56.0	2014-10-11 12:00:24.0	2014-10-11 12:00:24.0	NULL	2014-10-14	2014-10-21	1	3
010914da-d649-4812-98f6-0ffc665730f9	8a4de8c0-8de7-4c9f-b3b6-6f0efa62f0d0	34e6cd39-96df-44bf-9731-b32c64678d93	2014-10-11 11:17:49.0	2014-10-11 20:27:46.0	NULL	NULL	2014-10-14	2014-10-21	2	3
010914da-d649-4812-98f6-0ffc665730f9	ab4811a4-39a6-43ec-95dd-03253825fa4b	de22e022-adc8-4996-aec5-10c953cefaa3	2014-10-11 11:05:59.0	2014-10-11 23:09:18.0	NULL	NULL	2014-10-14	2014-10-21	1	2
010914da-d649-4812-98f6-0ffc665730f9	f55792da-9cdc-48fc-a088-f1f15c0c909b	e04d212b-cb64-45a7-b875-78c7fd5d7cff	2014-10-11 11:01:41.0	2014-10-11 12:57:57.0	NULL	NULL	2014-10-14	2014-10-21	1	2
010914da-d649-4812-98f6-0ffc665730f9	f6947360-544e-4c7c-924f-b49acbc6a522	f56282e3-3575-4547-a206-97b73b128ee1	2014-10-11 11:13:55.0	2014-10-11 11:56:46.0	2014-10-11 11:56:46.0	NULL	2014-10-14	2014-10-21	2	2
010914da-d649-4812-98f6-0ffc665730f9	ff3fe9f4-ec5f-4ca3-8ec3-6147f9589d91	3220b101-7d96-46ad-bd46-b2d000074aaa	2014-10-11 11:38:15.0	2014-10-11 11:57:00.0	2014-10-11 11:57:49.0	NULL	2014-10-14	2014-10-21	1	3
01247652-a704-4040-9de2-3a3a2532be04	37872166-45d6-4f9d-b482-0b9e788c13c8	a72471a4-9f36-4b60-b3ee-6aae831b206f	2014-09-28 11:31:46.0	2014-09-28 12:54:08.0	2014-09-28 12:54:08.0	2014-10-06 09:26:52.0	2014-10-10	2014-10-11	3	11
0124ab30-6b9c-4710-909a-7a0f014b949b	c4988f29-6ab6-4afb-9c4c-1e8ae41524d2	44770890-bdfe-49df-bdd9-28e19eafee23	2014-10-22 22:45:39.0	2014-10-23 04:34:07.0	NULL	NULL	2014-10-24	2014-10-25	3	6
01307b6f-d372-4c7b-bb99-4aba81a768b7	8c55e895-74e2-4871-bd3f-c373700f4a50	4fe03d0b-08d4-43d1-b9b8-b10100576b44	2014-10-17 06:54:15.0	2014-10-17 07:52:44.0	NULL	NULL	2014-11-05	2014-11-09	4	9
01307b6f-d372-4c7b-bb99-4aba81a768b7	bb800fd3-da23-4d0c-8e6e-654628625ca9	c47c3ecd-6903-4a21-b620-1ee7f4d5aed9	2014-10-13 19:17:25.0	2014-10-14 14:47:59.0	NULL	NULL	2014-11-05	2014-11-09	4	3
01307b6f-d372-4c7b-bb99-4aba81a768b7	ebc50904-5c80-47f4-8f82-3496859ba031	fe3c3b1b-3246-4b15-a104-187c216ecd23	2014-10-18 16:15:01.0	2014-10-18 16:15:01.0	2014-10-18 16:15:01.0	2014-10-18 16:15:01.0	2014-11-05	2014-11-09	4	16
0133517f-e866-4177-be03-ce27b523be82	bfe8118e-c490-46d6-b629-927b399626f6	1fb4bd13-1b6f-4d3f-b91b-03e2fb9ca046	2014-10-15 14:00:14.0	2014-10-15 14:18:07.0	2014-10-15 14:18:07.0	2014-10-15 14:18:07.0	2014-11-06	2014-11-10	1	19
0135b0b1-aecd-4352-9cb2-4466b6f59e4c	4c5923e0-8110-42d6-aa00-9b0920c13af4	12752bab-ffdd-479b-aa7a-5acc359522e7	2014-10-12 19:30:44.0	2014-10-13 08:42:39.0	2014-10-13 08:42:44.0	2014-10-13 08:42:44.0	2015-03-15	2015-03-18	2	6
0135b0b1-aecd-4352-9cb2-4466b6f59e4c	f537b1d2-631d-4f4e-9ee7-3cfb258a74df	4f844e8c-3752-4592-a035-52eecdfd9c4b	2014-10-12 19:04:24.0	2014-10-12 19:17:38.0	NULL	NULL	2015-03-15	2015-03-18	2	3
0136d5b7-b7f0-4e7c-8c59-3b814a702740	c18a0503-7079-46c7-bbf0-8cc0914e7c58	8ac8b3e3-6325-41bf-8586-6e7a173831f2	2014-10-05 16:01:04.0	2014-10-06 14:29:16.0	NULL	NULL	2014-12-29	2015-01-05	4	2
013f864e-efb5-4336-ad18-7e444524c5ca	784e24da-0dfd-407f-9164-6858297f8fe5	fb68dc1d-1c51-46b5-ae60-3ae73d967046	2014-10-09 16:00:44.0	2014-10-09 16:25:52.0	2014-10-09 17:06:40.0	2014-10-09 17:06:40.0	2014-10-17	2014-10-20	2	12
01461327-4f5e-4e69-8f57-a878cfd35dd5	882d1e82-a229-470b-ac01-2e417e7f2daa	8f1c98b8-0f35-4258-8dc7-3743106a4455	2014-10-04 23:38:18.0	2014-10-05 16:37:08.0	2014-10-05 16:37:32.0	NULL	2014-11-13	2014-11-17	2	9
01513193-2e68-4dc7-a591-9ff0ada1e886	d5bf9afd-9572-4f60-955e-02706cc7130a	94184ed0-61c1-4c08-9e30-b465839839dc	2014-10-10 23:51:02.0	2014-10-11 00:01:11.0	2014-10-14 15:55:37.0	2014-10-14 15:55:37.0	2014-11-13	2014-11-16	2	35
015e0c6f-d14d-4fe7-bf69-9a9c4f409ec2	a9c06aaa-ffc6-4d2e-b9ad-f263e184022d	33519f13-f83f-4323-af3a-faf52393e7e6	2014-10-11 18:48:38.0	2014-10-11 18:58:19.0	2014-10-11 18:58:59.0	2014-10-11 19:16:21.0	2014-10-30	2014-10-31	2	28
016a8ec5-5340-4bba-ab42-ef375440d3fd	05c39598-4a49-4bb6-96ed-ed8007108aa1	45b001f4-3593-4b25-aed3-896e8e78fdd3	2014-10-08 11:55:56.0	2014-10-08 16:44:42.0	NULL	NULL	2014-11-06	2014-11-09	2	3
016a8ec5-5340-4bba-ab42-ef375440d3fd	2a0feb74-d403-4f66-82e7-2087dae9c598	4fe7ea2e-e46d-4cba-8915-8e6fec28bd9b	2014-10-08 11:48:03.0	2014-10-08 13:28:01.0	NULL	NULL	2014-11-06	2014-11-09	2	2
016a8ec5-5340-4bba-ab42-ef375440d3fd	48e39e06-5c1e-4f0d-a6b0-12dffa19532a	c7cf2cd5-abf0-45f2-bb79-e4c566c99d82	2014-10-08 13:26:32.0	2014-10-08 15:25:35.0	NULL	NULL	2014-11-06	2014-11-09	2	2
016a8ec5-5340-4bba-ab42-ef375440d3fd	69d183b5-c402-470e-a340-1ce9947993f6	7288af8e-d4c9-4b2f-ab6d-a85b6e85741e	2014-10-08 11:56:34.0	2014-10-08 18:32:14.0	2014-10-08 18:32:20.0	NULL	2014-11-06	2014-11-09	2	3
016a8ec5-5340-4bba-ab42-ef375440d3fd	beeab7c3-ab4e-45d7-bde9-978de0fd8d57	c318d3e3-b36e-43b8-9b0c-3400cbca3895	2014-10-08 13:43:41.0	2014-10-08 14:05:31.0	NULL	NULL	2014-11-06	2014-11-09	2	2
016a8ec5-5340-4bba-ab42-ef375440d3fd	d00b32e3-11ee-4f76-a5b4-a7f036ea6b10	40f02fba-3a57-4869-a81d-afb44d49c5f2	2014-10-08 13:32:30.0	2014-10-08 13:45:45.0	2014-10-08 13:45:45.0	NULL	2014-11-06	2014-11-09	2	3
016a8ec5-5340-4bba-ab42-ef375440d3fd	e00fd15f-0eb6-48fb-8b4a-46493802c89c	d49983fb-356a-4bce-9dd3-b09f5f8d37b5	2014-10-08 11:48:49.0	2014-10-08 12:28:33.0	2014-10-08 19:12:33.0	NULL	2014-11-06	2014-11-09	2	5
