ds	id_user	ds_checkin	ds_checkout	n_searches	n_nights	n_guests_min	n_guests_max	origin_country	filter_price_min	filter_price_max	filter_room_types	filter_neighborhoods
2014-10-01	0000af0a-6f26-4233-9832-27efbfb36148	2014-10-09	2014-10-12	16	3	2	2	IE	0	67	,Entire home/apt,Entire home/apt,Private room,Private room	
2014-10-01	0000af0a-6f26-4233-9832-27efbfb36148	2014-10-09	2014-10-19	3	10	1	2	IE	0	67		
2014-10-01	000cd9d3-e05b-4016-9e09-34a6f8ba2fc5	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	000cd9d3-e05b-4016-9e09-34a6f8ba2fc5	2014-11-08	2014-11-10	11	2	1	2	GB	NULL	NULL	,Entire home/apt	
2014-10-01	001c04f0-5a94-4ee0-bf5d-3591265256de	NULL	NULL	1	NULL	1	1	IE	NULL	NULL		
2014-10-01	004e88da-930b-4209-886f-b58f90fdc67e	2014-10-03	2014-10-05	7	2	5	5	SE	NULL	NULL		
2014-10-01	00623353-97d2-43c9-ac02-1adfecf1aca6	2014-11-01	2014-11-09	6	8	1	1	IE	NULL	NULL	Entire home/apt,Entire home/apt,Private room,Private room	
2014-10-01	00623353-97d2-43c9-ac02-1adfecf1aca6	2015-03-30	2015-04-04	1	5	1	1	IE	NULL	NULL	Entire home/apt	
2014-10-01	00623353-97d2-43c9-ac02-1adfecf1aca6	2015-03-30	2015-04-05	2	6	1	2	IE	NULL	NULL	Entire home/apt	
2014-10-01	00adc862-c452-40a8-8630-a8f0fd81be3f	2015-02-21	2015-02-28	9	7	2	2	DE	0	80	,Entire home/apt	
2014-10-01	00b3b4ae-b379-427e-bdc8-bb9353a53eac	2014-10-01	2014-10-05	10	4	1	1	IT	NULL	NULL		
2014-10-01	00c0e19f-f586-46e4-85b9-c994a848951c	NULL	NULL	14	NULL	1	2	GB	0	261	,Entire home/apt	
2014-10-01	00dbfc14-e378-40c9-b841-28f60275109d	NULL	NULL	4	NULL	1	1	IT	NULL	NULL		
2014-10-01	00dbfc14-e378-40c9-b841-28f60275109d	2014-10-18	2014-10-22	5	4	1	3	IT	NULL	NULL	,Shared room,Private room	
2014-10-01	00fb5de4-9865-420f-bc85-22521121a1ca	NULL	NULL	4	NULL	1	1	DE	NULL	NULL		
